svy_geoid,tsi6_mean,tsi6_se,fsi6_mean,fsi6_se,nhd_cohes_mean,nhd_cohes_se,prop_black_2024,poverty_rate_2024,median_income_2024,black_stratum_2024,poverty_stratum_2024,income_quartile_2024,pop_density_2024,region
24005451701,2.7848789658223456,2.04329448491013,1.3924394829111728,1.021647455483439,11.947350854040467,0.9857683869569954,0.389287282306454,0.02941606907654032,116973,> 25% to ≤ 50%,Low poverty,Q4 (highest),1093.9832613165627,Baltimore County
24005451702,0,0,0,0,11,0,0.041666666666666664,0.02153506350082827,121500,≤ 10%,Low poverty,Q4 (highest),675.4782417718175,Baltimore County
24005451801,1.1145998837670654,1.0139493368980352,1.7194317106906885,1.0404835764581868,9.244708777598701,0.8973206431661092,0.2910418310970797,0.1420678768745067,78950,> 25% to ≤ 50%,Low poverty,Q3,1246.900259828296,Baltimore County
24005451802,0,0,0.6558542738448702,0.26893905155742615,10.69062579430926,0.265721135372317,0.20639465521355285,0.07182056788356,70071,> 10% to ≤ 25%,Low poverty,Q2,991.9850529255986,Baltimore County
24005451803,1.8212935895691367,0.7735993512879648,0.6912966680696114,0.642743568205103,9.03169771774522,0.8639908875305536,0.334608843537415,0.14422871772989118,83083,> 25% to ≤ 50%,Low poverty,Q3,3326.5246947963014,Baltimore County
24005451900,0.04562096591679053,0.05063828697968914,0.20723069016661796,0.19588984006475135,7.467292807558991,0.4832831747159333,0.01761049723756906,0.015538674033149171,136579,≤ 10%,Low poverty,Q4 (highest),558.2805489166882,Baltimore County
24005452000,2.5962337960452775,1.820904737221308,0.43270563267421286,0.30348418615109074,11.105649305932085,2.2790097135286604,0.08180708180708181,0.04395604395604396,85650,≤ 10%,Low poverty,Q3,4050.3335280976116,Baltimore County
24005452100,3.027999585056679,1.9992922488300027,1.0242304397799122,0.9662908382346856,10.345085392143686,0.4632458039262376,0.012897678417884782,0.049011177987962166,103783,≤ 10%,Low poverty,Q3,3121.8009785696495,Baltimore County
24005452300,0,0,2,0,9,0,0.2998678996036988,0.33751651254953763,46687,> 25% to ≤ 50%,High poverty,Q1 (lowest),3312.0792484974722,Baltimore County
24005452400,0.40049274476433583,0.21983134849991176,0,0,10.940490301482637,1.0490320758015004,0.06293302540415704,0.09017106407654392,73750,≤ 10%,Low poverty,Q2,726.4907582892145,Baltimore County
24005452500,0.9628603752420266,0.83185415581856,0,0,10.091913693350994,1.1228805780528248,0.25757937455239915,0.20100262592504178,66310,> 25% to ≤ 50%,High poverty,Q2,7580.556847225657,Baltimore County
24005490100,0.37029897733039907,0.31195833672848877,0.14844643633909196,0.12060154017557335,10.745564205116843,0.5554540251244592,0.015373528705260629,0.027384098006245496,172250,≤ 10%,Low poverty,Q4 (highest),741.3919381709936,Baltimore County
24005490200,0,0,0,0,10.091196015488562,0.533275228324399,0.04504212572909916,0.0888671875,128047,≤ 10%,Low poverty,Q4 (highest),3566.860465105901,Baltimore County
24005490302,1.174408693067591,1.087267157294578,1.7688585295909849,1.0938475093676712,9.522592338133693,0.8211321069874636,0.2530541012216405,0.08651989185013519,108157,> 25% to ≤ 50%,Low poverty,Q3,3332.7477358752562,Baltimore County
24005490303,1.039942430803231,0.8325850472013092,0,0,9.174169475918642,1.0060416390469105,0.37846273897776045,0.27719821162444114,75392,> 25% to ≤ 50%,High poverty,Q2,5526.348460680331,Baltimore County
24005490304,0,0,0.9044914493124101,0.8866132060051325,8,0,0.2885292047853624,0.17358667604973024,73203,> 25% to ≤ 50%,Low poverty,Q2,13435.777460846708,Baltimore County
24005490400,0.2832378979202568,0.3057689326274514,0,0,9.070809474480063,0.07644751439836274,0.029177718832891247,0.07154650522839846,214330,≤ 10%,Low poverty,Q4 (highest),841.8646868015719,Baltimore County
24005490500,0.3025866583502555,0.20651573711061588,0,0,11.635168643856531,0.5875750773912407,0.03468997541655285,0.07635265037077726,200682,≤ 10%,Low poverty,Q4 (highest),1443.307770312747,Baltimore County
24005490601,0,0,0.1139555534190492,0.11424712476422097,10.444290970245772,0.7854808986553696,0.03365384615384615,0.042395104895104896,176184,≤ 10%,Low poverty,Q4 (highest),10722.259394360488,Baltimore County
24005490602,2.0101607147432925,1.7970681693354997,1.3075688684771285,0.9421870075212155,9.002252764770336,1.2404589431484934,0.07489417127971344,0.10582872028655162,132740,≤ 10%,Low poverty,Q4 (highest),10117.24357643659,Baltimore County
24005490603,0.07675221227312971,0.07700656386940163,0,0,11.95956233111247,0.7726173399240339,0.07826456826882178,0.08658379768538363,161250,≤ 10%,Low poverty,Q4 (highest),5699.986415279441,Baltimore County
24005490701,0,0,0,0,11.037991537401076,1.903550848464872,0.07424441524310119,0.05816733067729084,133125,≤ 10%,Low poverty,Q4 (highest),3016.0588221341995,Baltimore County
24005490703,0.0975843781390573,0.1005238985608421,0.8576274468279426,0.5414156657440753,8.356258259565807,1.4472509464918086,0.14092906465787822,0.07864108210128971,108654,> 10% to ≤ 25%,Low poverty,Q4 (highest),5383.399563545265,Baltimore County
24005490800,2.2624088766175134,1.8181565103558415,0.1924107539677716,0.17893818907580447,11.548227730513167,0.3154904117818773,0.06501182033096926,0.28375149342891276,101667,≤ 10%,High poverty,Q3,6019.61230060014,Baltimore County
24005490900,0.47589151637915283,0.321835249146953,0.9217395362070208,0.30883633121129245,7.36479122055726,0.671781032065788,0.24113338473400153,0.22850946372239747,51908,> 10% to ≤ 25%,High poverty,Q1 (lowest),8863.286623531592,Baltimore County
24005491000,0.06712478165529248,0.07571797867620843,0,0,9.663468890328344,0.5922935756895693,0.028083028083028084,0.00459866220735786,219028,≤ 10%,Low poverty,Q4 (highest),5123.255287613488,Baltimore County
24005491100,0.10940873516023958,0.10770891774852205,0.1653457170580559,0.1580084319287816,11.973645093046542,0.5586783351801903,0.08035965158752459,0.026411913458836752,116595,≤ 10%,Low poverty,Q4 (highest),8388.359825858422,Baltimore County
24005491201,1.7656822920362771,1.02751038624365,1.177121528024185,0.6850070669963833,6.057196179939537,1.7126356248131323,0.3232183908045977,0.07710390220968501,101029,> 25% to ≤ 50%,Low poverty,Q3,3317.8494146139774,Baltimore County
24005491202,0,0,1.8483593106434097,0.18369351845621276,7.680015474159829,0.5184457476934141,0.21212121212121213,0.09982174688057041,96016,> 10% to ≤ 25%,Low poverty,Q3,5714.796766428754,Baltimore County
24005491300,3.857191412587902,1.5752011862075839,0.6136256240329185,0.3948669779130342,6.615837555968476,1.9124613740675451,0.34608425949857846,0.10002584647195657,87702,> 25% to ≤ 50%,Low poverty,Q3,5236.318188207568,Baltimore County
24005491401,0,0,2.598645559238636,1.040587311741298,6.454170166437569,3.0106877586270673,0.7517070142768467,0.06690361697679281,65602,> 75% to ≤ 90%,Low poverty,Q2,10391.64512002258,Baltimore County
24005491402,1.6002498945880843,1.5500153722363101,1.8097475675867087,0.7277311288181202,9.444800444048127,0.35497496315199656,0.7413907284768212,0.04883879781420765,78789,> 50% to ≤ 75%,Low poverty,Q3,8793.171831771268,Baltimore County
24005491500,0,0,2.6377661567039388,1.0205436246209136,9.149458020384493,0.41633991217744754,0.33620689655172414,0.13244514106583072,85029,> 25% to ≤ 50%,Low poverty,Q3,8784.902513864756,Baltimore County
24005491600,2.03081527740774,0.8391252687175157,0.7738350016334408,0.4839627261799296,7.567584712087949,1.2281773945400098,0.440194489465154,0.19827288428324696,39306,> 25% to ≤ 50%,Low poverty,Q1 (lowest),9131.004613434843,Baltimore County
24005491701,1.3865542339717294,1.0941476402813606,1.9064157183616703,0.7060976498799703,9.355051718668157,0.8833282075004191,0.15446197315752297,0.11497515968772179,103958,> 10% to ≤ 25%,Low poverty,Q3,3681.20843409541,Baltimore County
24005491900,0,0,0,0,10,0,0.05873261205564142,0.1397288842544317,84750,≤ 10%,Low poverty,Q3,3479.8654256688847,Baltimore County
24005492001,5.341342952746404,1.5507241348801382,4.578293959496917,1.3291923927675195,7.1294982990164355,0.15945261485691117,0.33387888707037644,0.10773026315789473,75966,> 25% to ≤ 50%,Low poverty,Q2,3182.3697159766766,Baltimore County
24005492002,0.8089348079824903,0.6198867141338984,0.5243984696070585,0.2887400906929485,9.123771687802112,0.8370658893505324,0.24623628476652207,0.08241617609418991,84032,> 10% to ≤ 25%,Low poverty,Q3,6492.319020398347,Baltimore County
24005492101,0.9836540045967322,0.971815929552517,4.518897907838071,1.0922727291156606,9.176021439302161,0.634085450123045,0.2593688362919132,0.04950495049504951,81188,> 25% to ≤ 50%,Low poverty,Q3,7333.829000518011,Baltimore County
24005492102,0,0,2.0261145485614125,1.6209964694826673,8.350948881180816,1.8210971597662529,0.19676674364896074,0.07659372026641294,90432,> 10% to ≤ 25%,Low poverty,Q3,5937.854701986053,Baltimore County
24005492200,1.8158585332712105,1.047846611665493,0.932422826254314,0.6118454696639716,9.795683754102503,0.9805001658178462,0.4305806710870002,0.12316656620454089,88528,> 25% to ≤ 50%,Low poverty,Q3,4445.061029383113,Baltimore County
24005492300,5.042172478552202,2.3672139318300482,3.7816293589141523,1.775410819071549,9.473309548125549,0.5488041801614586,0.27976011994002997,0.08575712143928035,65898,> 25% to ≤ 50%,Low poverty,Q2,7118.125157091211,Baltimore County
24005492401,0.8335562164015048,0.8045767959005097,1.1528653783585823,0.5036973878118117,8.8546687201789709,0.07316372334343497,0.785068397866914,0.04127057732436819,112607,> 75% to ≤ 90%,Low poverty,Q4 (highest),6980.855419299966,Baltimore County
24005492402,0.9669742420405316,0.6291182190439439,0.6966300633097413,0.46793242090524784,9.141849672636376,0.5130552912701419,0.7586555106751298,0.0930467397576457,97243,> 75% to ≤ 90%,Low poverty,Q3,5658.611962139757,Baltimore County
24005492600,0.43338371771190576,0.29657949723324317,0,0,11.396705427843566,0.3270916049156054,0.2593444508338125,0.06511627906976744,72180,> 25% to ≤ 50%,Low poverty,Q2,2152.780964284733,Baltimore County
24005492700,0.4026072781515461,0.3940075862829358,0.8341616945079341,0.6050270822182762,4.604252125024136,2.484520852990201,0.6435001800504141,0.1681670867842996,48034,> 50% to ≤ 75%,Low poverty,Q1 (lowest),500.49341503340287,Baltimore County
24510010100,1.0659271935763657,0.4531488655196864,0.003410279116902428,0.003499187666094141,9.593632790567122,0.5944514873075296,0.07206208425720621,0.046621888581588306,151213,≤ 10%,Low poverty,Q4 (highest),17824.37227045916,Baltimore City
24510010200,0.9782042828301133,0.3502088566211192,0.6344914142755372,0.35982689650789834,9.778596880036478,0.45415670199217334,0.052142857142857144,0.06321428571428571,154545,≤ 10%,Low poverty,Q4 (highest),20418.584038404686,Baltimore City
24510010300,1.2511733743384652,0.9602357568254511,0,0,11.216439700939755,0.5786928764894085,0.006423982869379015,0.033190578158458245,161717,≤ 10%,Low poverty,Q4 (highest),7179.4326077375445,Baltimore City
24510010400,0.7874027833550923,0.5804364489609499,0.7781212198459719,0.35416963653424116,9.995325201804336,0.39901490242324567,0.09295570079883805,0.032679738562091505,150677,≤ 10%,Low poverty,Q4 (highest),19084.79320604478,Baltimore City
24510010500,1.6901905841678846,1.0885469159261167,0,0,11.140266440569112,0.7355126491613418,0.10965909090909091,0.11244292237442922,101810,> 10% to ≤ 25%,Low poverty,Q3,29362.862608942112,Baltimore City
24510020100,1.5055723765912277,0.7232973367798551,1.339996724904614,0.5292922911772775,8.824899243820125,1.192314063753002,0.11938601478112564,0.11540648095508811,116516,> 10% to ≤ 25%,Low poverty,Q4 (highest),26102.28773433561,Baltimore City
24510020200,0.35006426718224476,0.17190576268246513,0.3273078475417814,0.16244473550494642,10.755243237685507,0.5190897333495222,0.18452380952380953,0.23082010582010581,63533,> 10% to ≤ 25%,High poverty,Q2,19822.23971573049,Baltimore City
24510020300,1.2200387193752806,0.4111339416773482,0.12070135703215258,0.08061837161168045,9.038428948099112,0.17992726642176848,0.12817497648165568,0.08607714016933207,103263,> 10% to ≤ 25%,Low poverty,Q3,16616.014219067794,Baltimore City
24510030100,6.907315571856106,2.4917948737480806,3.5144493387045626,1.2768556419689336,8.799163927677341,0.41207008700045866,0.7556732223903178,0.5,57200,> 75% to ≤ 90%,High poverty,Q2,8010.640731633706,Baltimore City
